Airport code,City,State,Airport name ,data source id,ranking,,,,,Airport used 
PIB,Hattiesburg/Laurel, MS, Hattiesburg-Laurel Regional (PIB),#REF!,,FALSE,FALSE,'PIB',0,FALSE
HDN,Hayden, CO, Yampa Valley (HDN),#REF!,,FALSE,FALSE,'HDN',0,FALSE
HYS,Hays, KS, Hays Regional (HYS),#REF!,,FALSE,FALSE,'HYS',0,FALSE
HLN,Helena, MT, Helena Regional (HLN),#REF!,,FALSE,FALSE,'HLN',0,FALSE
HIB,Hibbing, MN, Range Regional (HIB),#REF!,,FALSE,FALSE,'HIB',0,FALSE
HKY,Hickory, NC, Hickory Regional (HKY),#REF!,,FALSE,FALSE,'HKY',0,FALSE
ITO,Hilo, HI, Hilo International (ITO),#REF!,,FALSE,FALSE,'ITO',0,FALSE
HHH,Hilton Head, SC, Hilton Head Airport (HHH),#REF!,,FALSE,FALSE,'HHH',0,FALSE
HOB,Hobbs, NM, Lea County Regional (HOB),#REF!,,FALSE,FALSE,'HOB',0,FALSE
FLL,Fort Lauderdale, FL, Fort Lauderdale-Hollywood International (FLL),#REF!,1,#REF!,FALSE,'FLL',1,FLL
MKK,Hoolehua, HI, Molokai (MKK),#REF!,,FALSE,FALSE,'MKK',0,FALSE
FWA,Fort Wayne, IN, Fort Wayne International (FWA),#REF!,2,FALSE,#REF!,'FWA',1,FWA
GEG,Spokane, WA, Spokane International (GEG),#REF!,2,FALSE,#REF!,'GEG',1,GEG
GRB,Green Bay, WI, Green Bay Austin Straubel International (GRB),#REF!,2,FALSE,#REF!,'GRB',1,GRB
HSV,Huntsville, AL, Huntsville International-Carl T Jones Field (HSV),#REF!,,FALSE,FALSE,'HSV',0,FALSE
HYA,Hyannis, MA, Barnstable Municipal-Boardman/Polando Field (HYA),#REF!,,FALSE,FALSE,'HYA',0,FALSE
HNL,Honolulu, HI, Daniel K Inouye International (HNL),#REF!,1,#REF!,FALSE,'HNL',1,HNL
HOU,Houston, TX, William P Hobby (HOU),#REF!,2,FALSE,#REF!,'HOU',1,HOU
INL,International Falls, MN, Falls International Einarson Field (INL),#REF!,,FALSE,FALSE,'INL',0,FALSE
IYK,Inyokern, CA, Inyokern Airport (IYK),#REF!,,FALSE,FALSE,'IYK',0,FALSE
IMT,Iron Mountain/Kingsfd, MI, Ford (IMT),#REF!,,FALSE,FALSE,'IMT',0,FALSE
ISP,Islip, NY, Long Island MacArthur (ISP),#REF!,,FALSE,FALSE,'ISP',0,FALSE
ITH,Ithaca/Cortland, NY, Ithaca Tompkins Regional (ITH),#REF!,,FALSE,FALSE,'ITH',0,FALSE
JAC,Jackson, WY, Jackson Hole (JAC),#REF!,,FALSE,FALSE,'JAC',0,FALSE
JAN,Jackson/Vicksburg, MS, Jackson Medgar Wiley Evers International (JAN),#REF!,,FALSE,FALSE,'JAN',0,FALSE
HVN,New Haven, CT, Tweed New Haven (HVN),#REF!,2,FALSE,#REF!,'HVN',1,HVN
OAJ,Jacksonville/Camp Lejeune, NC, Albert J Ellis (OAJ),#REF!,,FALSE,FALSE,'OAJ',0,FALSE
JMS,Jamestown, ND, Jamestown Regional (JMS),#REF!,,FALSE,FALSE,'JMS',0,FALSE
